matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
2017,202000811,2020-06-24,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0253-2020,emergency ordinance,Vacate and sell Panther Court right-of-way to Elder High School,Authorizes sale of Panther Court public right-of-way to Elder High School for campus expansion.,education|infrastructure,West Price Hill,"ORDINANCE, (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to vacate and sell to Dennis M. Schnurr, Archbishop of Cincinnati, Trustee for Archbishop Elder High School, Cincinnati, Hamilton County, Ohio a portion of the public right-of-way known as Panther Court in the West Price Hill neighborhood of Cincinnati to facilitate the expansion of the Elder High School campus.",,success
2020,202000870,2020-07-02,2020-08-05,2020-08-05,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit Application for Hyde Park Art Show,City Manager reports on special event permit application for Hyde Park Art Show.,arts and culture,Hyde Park,"REPORT, dated 8/5/2020, submitted by Paula Boggs Muething, Interim City Manager, regarding Special Event Permit Application for Hyde Park Art Show.",Requested revision completed.,success
2036,202000865,2020-07-08,2021-01-20,2021-01-20,Law & Public Safety Committee,Report,Filed/Sunset,City Manager,,report,Marijuana-Only Warnings Citations and Arrests Monthly Report for June 2020,Monthly report on marijuana-only law enforcement actions taken in Cincinnati during June 2020.,public safety,citywide,"REPORT, dated 08/05/2020, submitted by Paula Boggs Muething, Interim City Manager, regarding Marijuana-Only Warnings/Citations/Arrests Monthly Report for June 2020. (SEE DOCUMENT #201901197)",,success
2040,202000869,2020-07-09,2020-09-02,2020-09-02,Cincinnati City Council,Report,Approved & Filed,Budget and Finance Committee,,report,Netting Beneath the Western Hills Viaduct,Report on netting installation beneath the Western Hills Viaduct for safety purposes.,infrastructure|public safety,citywide,"REPORT, dated 08/05/2020, submitted by Paula Boggs Muething, Interim City Manager, regarding Netting Beneath the Western Hills Viaduct.  (REF DOCUMENT #202000050)",,success
2052,202000881,2020-07-10,2020-08-05,2020-08-05,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement for Roshani Desoyza Hardin Chief of Staff Law Department,Filing of financial disclosure statement for Law Department Chief of Staff Roshani Desoyza Hardin.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Roshani Desoyza Hardin/Chief of Staff/Law Department.",,success
2065,202000894,2020-07-15,2020-09-02,2020-09-02,Cincinnati City Council,Report,Approved & Filed,Budget and Finance Committee,,report,Department of Finance Monthly Report for May 2020,"Monthly financial report from the Department of Finance covering activities through May 31, 2020.",budget,citywide,"REPORT, submitted by Paula Boggs Muething, Interim City Manager on 8/5/2020, regarding Department of Finance Reports for the Month Ended May 31, 2020.",,success
2066,202000895,2020-08-05,2020-08-05,2020-08-05,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,"Financial Disclosure Statement Filing for Samuel Jonathan Stephens, Finance Division Manager",Filing of required financial disclosure statement for Finance Division Manager Samuel Jonathan Stephens.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Samuel Jonathan Stephens/Finance/Division Manager (Debt Manager)",,success
2068,202000897,2020-08-05,2020-08-05,2020-08-05,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Donald George Stiens Traffic Services Division Manager,Formal filing of financial disclosure statement for Traffic Services Division Manager Donald George Stiens.,elections and governance|transportation,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Donald George Stiens/Transportation & Engineering, Traffic Services/Division Manager",,success
2069,202000898,2020-07-17,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Economic Growth & Zoning Committee,0274-2020,ordinance,Rezoning 2980 Disney Street in Oakley to Planned Development District,Rezones property at 2980 Disney Street from Commercial General Auto-Oriented to Planned Development District No. 89.,zoning,Oakley,"ORDINANCE submitted by Paula Boggs Muething, Interim City Manager, on 8/4/2020, AMENDING the official zoning map of the City of Cincinnati to rezone certain real property located in the Oakley neighborhood and commonly known as 2980 Disney Street from the CG-A, “Commercial General Auto-Oriented,” zoning district to Planned Development District No. 89, “Graphite Oakley.”",,success
2070,202000899,2020-07-17,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Economic Growth & Zoning Committee,0275-2020,emergency ordinance,Amendment to Planned Development No. 69 for multi-family and mixed-use buildings,Approves rezoning adjacent properties to facilitate construction of new multi-family and mixed-use buildings.,zoning|housing|economic development,,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/4/2020, APPROVING a major amendment to the concept plan and development program statement governing Planned Development No. 69 to include certain adjacent properties, thereby approving the rezoning of those properties from the CN-P, “Commercial Neighborhood-Pedestrian,” zoning district to Planned Development District No. 69, in order to facilitate the construction of a new multi-family building and a new mixed-used building.",,success
2071,202000900,2020-07-20,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Economic Growth & Zoning Committee,0276-2020,emergency ordinance,Extending Summit Road Interim Development Control District in Roselawn,Extends interim development control district for Summit Road in Roselawn for six additional months.,zoning,Roselawn,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/4/2020, EXTENDING Interim Development Control District No. 87, “Summit Road in Roselawn,” in the Roselawn neighborhood as an interim development control district for a period of six months pursuant to Chapter 1431, “Interim Development Control Overlay Districts,” of the Cincinnati Zoning Code.",,success
2072,202000901,2020-07-20,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Economic Growth & Zoning Committee,0277-2020,emergency ordinance,Extending Auburn Avenue Interim Development Control District in Mt. Auburn,Extends interim development control district on Auburn Avenue in Mt. Auburn neighborhood for six months.,zoning,Mount Auburn,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/4/2020, EXTENDING Interim Development Control District No. 86, “Auburn Avenue in Mt. Auburn,” in the Mt. Auburn neighborhood as an interim development control district for a period of six months pursuant to Chapter 1431, “Interim Development Control Overlay Districts,” of the Cincinnati Zoning Code.",,success
2073,202000287,2020-01-22,2021-08-02,2021-11-29,"Budget, Finance & Governance Committee",Ordinance,Filed/Sunset,Clerk of Council,,emergency ordinance,Freeman District Cultural Entertainment Development Project Funding,"Establishes $500,000 capital project account for Freeman District improvements including property acquisition for cultural entertainment district.",economic development|arts and culture,,"ORDINANCE, (EMERGENCY) submitted by Councilmember Dennard from Paula Boggs Muething, City Solicitor on 1/22/2020, ESTABLISHING new capital improvement program project account no. 980x164x201639, ""Freeman District Improvements, ""for the purpose of providing resources for permanent improvements, including but not limited to property acquisition, within the proposed cultural and entertainment district, the ""Freeman District,"" in cooperation with The Port; and AUTHORIZING the transfer and appropriation of $500,000 from General Fund balance sheet reserve account no. 050x2580, ""Reserve for Weather Related Events, Other Emergency and One-Time Needs,"" to newly established capital improvement program project account no. 980x164x201639, ""Freeman District improvements,"" for the purpose of providing resources for permanent improvements, including but not limited to property acquisition, within the proposed Freeman District, in cooperation with The Port.",This item has not been placed on an agenda./ran,success
2074,202000345,2020-02-27,2021-11-29,2021-11-29,"Budget, Finance & Governance Committee",Communication,Filed/Sunset,Clerk of Council,,other,Statement on Freeman District as transformative Black-led economic development investment,Councilmember statement supporting Freeman District as Black-led development to address racial wealth gaps.,economic development|housing,citywide,"STATEMENT, dated 02/20/2020, submitted by Councilmember Dennard, The economic wealth gap that persists between the Black and White communities in the City of Cincinnati is staggering. There is a clear history of redlining in our city that has led to and continues to perpetuate a racial wealth gap today. Black communities continue to be under-resourced and under-valued. There needs to be focus and intentionality with development that attracts and retains Black people all the while building Black wealth. The Freeman District is a major step in that direction. It is a transformative investment lead by the Black community and Black business owners. It's a version of Black-owned entertainment, dinning and living right in the heart of our city. Our rhetoric regarding inclusion and diversity in the City of Cincinnati must be followed up with action.",This item was received by the clerk on 2/27/20 for placement on the next Budget agenda with item # 202000287./ran,success
2075,202000516,2020-03-18,2020-04-14,2021-11-29,"Budget, Finance & Governance Committee",Motion,Filed,Chris Seelbach,,motion,New evaluation criteria for Human Services Advisory Committee funding recommendations,Establishes new criteria emphasizing equity and outreach to underserved communities for human services funding evaluations.,human services|elections and governance,citywide,"MOTION, dated 03/18/2020, submitted by Councilmember Seelbach, WE MOVE that the City Council adopt new evaluation criteria for the Human Services Advisory Committee to use during its Evaluation process prior to the recommendation of Human Services Funding aware recommendations. The new evaluation criteria should address: 1) Whether the use of city funds by the human services provider is equitable to the diversity of the city's demographics, recognizing that minority communities are underserved through traditional means and may have less options for service, thereby reaffirming their need for support within the Human Services Fund; 2) How the provider ensures outreach into and impact within the city's African American community and other traditionally underserved communities; 3) That HSAC should consider the outcomes of equitable engagement and successful impact as a key factor during the evaluation process, giving emphasis to organizations whose data and track records show success at greater impacts into traditionally underserved and minority communities.",The Budget and Finance Committee on 4/14/2020 held this item in committee./ran,success
2076,202000732,2020-07-20,2020-08-05,2020-08-05,Cincinnati City Council,Motion,Adopted,Neighborhoods Committee,,motion,Honorary naming of Dana Avenue segment as William J. Keating,Names Dana Avenue segment between Victory Parkway and Madison Road as William J. Keating honorary street.,elections and governance,East Walnut Hills,"MOTION, submitted by Councilmember Pastor, WE MOVE that Dana Avenue between Victory Parkway and Madison Road shall receive the secondary, honorary name of William J. Keating for his contributions to the City of Cincinnati. (STATEMENT ATTACHED).",,success
2077,202000906,2020-08-05,2020-08-05,2020-08-05,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Roy Jeffrey Hackworth,Filing of financial disclosure statement for Community and Economic Development Division Manager Roy Jeffrey Hackworth.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Roy Jeffrey Hackworth/Community and Economic Dev/Division Manager.",,success
2080,202000909,2020-07-22,2020-09-02,2020-09-02,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0285-2020,ordinance,Grant encroachment easements for doors and steps at 3044 Harrison Avenue,Authorizes granting easements for building doors and steps that encroach on public right-of-way.,zoning,Westwood,"ORDINANCE submitted by Paula Boggs Muething, Interim City Manager, on 8/5/2020, AUTHORIZING the City Manager to execute a Grant of Encroachment Easements in favor of K-S Realty Holdings, LLC pursuant to which the City of Cincinnati will grant encroachment easements for two out-swinging doors and steps located at 3044 Harrison Avenue that encroach upon portions of the Harrison Avenue and Ruehlman Place public rights-of-way in the Westwood neighborhood of Cincinnati.",,success
2081,202000910,2020-07-22,2020-09-02,2020-09-02,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0286-2020,ordinance,Grant utility easement to Duke Energy for property at 2284 Montana Avenue,Authorizes City Manager to grant Duke Energy a utility easement over city property at 2284 Montana Avenue.,utilities,Westwood,"ORDINANCE submitted by Paula Boggs Muething, Interim City Manager, on 8/5/2020, AUTHORIZING the City Manager to execute a Grant of Easement in favor of Duke Energy Ohio, Inc., granting a utility easement over a portion of City-owned property generally located at 2284 Montana Avenue in the Westwood neighborhood of Cincinnati.",,success
2084,202000439,2020-07-23,2020-08-04,2020-09-09,"Education, Innovation & Growth Committee",Ordinance,Indefinitely Postponed,,,ordinance,Single Use Plastic and Paper Bag Restrictions for Restaurants,Restricts distribution of single-use bags by restaurants to reduce waste and environmental pollution.,environment and sustainability,citywide,"ORDINANCE, submitted by Councilmember Seelbach, MODIFYING title VIII, “Business Regulations,” of the Cincinnati Municipal Code by enacting new Chapter 802, “Regulation of Plastic and Paper Bags,” to restrict the distribution of single use bags by food service establishments and restaurants in the City of Cincinnati in order to reduce waste, litter and pollution; improve the appearance of the urban environment; and preserve the natural environment; and AMENDING Title XV, “code Compliance and Hearings,” Section 1501-4, “Class A1 Civil Offenses,” and Section 1501-7, “Class C Civil Offenses,” to incorporate the regulation of single use bags into existing civil offense compliance and hearing processes.",,success
2085,202000468,2020-07-23,2020-08-05,2020-08-05,Cincinnati City Council,Motion,Adopted,"Education, Innovation & Growth Committee",,motion,Request feasibility study for ADA door activation switch in Council Chambers,Requests administration study feasibility of adding ADA door switch to improve Council Chambers accessibility.,elections and governance,citywide,"MOTION, submitted by Councilmember Seelbach, WE MOVE that the Administration report back to City Council on the feasibility of adding a ADA door activation switch to one of the doorways of Council Chambers to increase accessibility to the chambers by mobility impaired citizens.",,success
2086,202000915,2020-07-23,2020-08-04,2020-08-04,Economic Growth & Zoning Committee,Presentation,Filed/Sunset,Economic Growth & Zoning Committee,,presentation,Proposed zone change at 644-664 Crown Street in Walnut Hills,Presentation regarding a proposed zoning change for properties at 644-664 Crown Street in Walnut Hills.,zoning,East Walnut Hills,"PRESENTATION submitted by Paula Boggs Muething, Interim City Manager, dated 8/4/2020, regarding a proposed zone change at 644-664 Crown Street in Walnut Hills.",,success
2087,202000916,2020-07-23,2020-08-04,2020-08-04,Economic Growth & Zoning Committee,Presentation,Filed/Sunset,Economic Growth & Zoning Committee,,presentation,Extension of IDC 86 Auburn Avenue in Mt. Auburn,Presentation regarding the extension of Industrial Development Corporation project 86 on Auburn Avenue in Mt. Auburn.,economic development|zoning,Mount Auburn,"PRESENTATION submitted by Paula Boggs Muething, Interim City Manager, dated 8/4/2020, regarding the extension of IDC 86, Auburn Avenue in Mt. Auburn.",,success
2088,202000917,2020-07-23,2020-08-04,2020-08-04,Economic Growth & Zoning Committee,Presentation,Filed/Sunset,Economic Growth & Zoning Committee,,presentation,Summit Road IDC 87 Extension in Roselawn,Presentation regarding the extension of Industrial Development Corporation project 87 on Summit Road in Roselawn.,economic development|zoning,Roselawn,"PRESENTATION submitted by Paula Boggs Muething, Interim City Manager, dated 8/4/2020, regarding the extension of IDC 87, Summit Road in Roselawn.",,success
2089,202000918,2020-07-23,2020-08-04,2020-08-04,Economic Growth & Zoning Committee,Presentation,Filed/Sunset,Economic Growth & Zoning Committee,,presentation,Proposed zone change and Concept Plan amendment for PD-69 in Corryville,Presentation regarding proposed zone change and major amendment to Concept Plan for PD-69 in Corryville.,zoning,Corryville,"PRESENTATION submitted by Paula Boggs Muething, Interim City Manager, dated 8/4/2020, regarding a proposed zone change and major amendment to the Concept Plan for PD-69 in Corryville.",,success
2090,202000919,2020-07-23,2020-08-04,2020-08-04,Economic Growth & Zoning Committee,Presentation,Filed/Sunset,Economic Growth & Zoning Committee,,presentation,Zone change proposal for 2980 Disney Street in Oakley,Presentation regarding a proposed zone change at 2980 Disney Street in Oakley.,zoning,,"PRESENTATION submitted by Paula Boggs Muething, Interim City Manager, dated 8/4/2020, regarding a proposed zone change at 2980 Disney Street in Oakley.",,success
2091,202000920,2020-07-23,2020-08-04,2021-12-31,Cincinnati City Council,Motion,Sunset,P.G. Sittenfeld,,motion,"Commit $500,000 to catalyze Avondale grocery store project","City commits $500,000 to help develop grocery store in Avondale with community benefits agreement requirements.",economic development|housing,Avondale,"MOTION, submitted by Councilmembers Sittenfeld and Kearney, WE MOVE that the City of Cincinnati commit $500,000 to help catalyze the Avondale grocery store project. WE FURTHER MOVE that these dollars come from the City Operating or Capital Budget within the next two Fiscal Year budget cycles. WE FURTHER MOVE that these City dollars be contingent on there being a Community Benefits Agreement between the grocery operator and the neighborhood, as represented by the Avondale Community Council and Avondale Community Development Corporation, in order to ensure that ongoing quality standards for the neighborhood are met; and also be contingent on vetting and due diligence from the City’s Department of Community and Economic Development; and finally, be contingent on a 2:1 financial match against City dollars from other partners. (STATEMENT ATTACHED)",This item was received on 7/23/2020 for placement on the next Budget & Finance Committee agenda./ran,success
2094,202000925,2020-07-28,2020-09-10,2020-09-10,Cincinnati City Council,Ordinance,Passed,"Education, Innovation & Growth Committee",0300-2020,ordinance,Restricting Single-Use Plastic and Paper Bags at Food Service Establishments,Restricts distribution of single-use bags by restaurants and food establishments to reduce waste and pollution.,environment and sustainability,citywide,"ORDINANCE, (B VERSION), Submitted by Councilmember Seelbach from Paula Boggs Muething, City Solicitor, MODIFYING Title VIII, “Business Regulations,” of the Cincinnati Municipal Code by enacting new Chapter 802, “Regulation of Plastic and Paper Bags,” to restrict the distribution of single use bags by food service establishments and restaurants in the City of Cincinnati in order to reduce waste, litter, and pollution; improve the appearance of the urban environment; and preserve the natural environment; and AMENDING Title XV. “Code Compliance and Hearings,” Section 1501-4, “Class A1 Civil Offenses,” and Section 1501-7, “Class C Civil Offenses,” to incorporate the regulation of single use bags into existing civil offense compliance and hearing processes.",,success
2095,202000736,2020-06-09,2021-03-02,2021-12-31,Economic Growth & Zoning Committee,Motion,Sunset,,,motion,"Raise responsible bidder ordinance threshold from $400,000 to $1 million","Increases the dollar threshold for responsible bidder requirements from $400,000 to $1 million for city contracts.",economic development|legal and litigation,citywide,"MOTION, submitted by Vice Mayor Smitherman, WE MOVE the threshold for the responsible bidder ordinance be raised from $400,000 to $1 million. (STATEMENT ATTACHED)",PER RULE 7.14- SUNSET OF PRIOR LEGISLATIVE MATTERS. sa,success
2097,202000933,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0254-2020,emergency ordinance,Establish conditions for owner-requested water main replacement in public areas,Creates new municipal code section establishing requirements for property owners requesting water main replacements.,utilities|infrastructure,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, MODIFYING the provisions of Chapter 401, “Water Works,” of Title IV, “Public Utilities,” of the Cincinnati Municipal Code by ORDAINING new Section 401-24, “Owner Requested Replacement of Existing Water Mains,” under Division B, “Water Main Installations,” in order to establish conditions and requirements for replacement of existing water mains in public rights-of-way or easements.",,success
2100,202000936,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Motion,Adopted,Major Projects & Smart Government,,motion,Mann requests appointment to Law and Public Safety Committee,Councilmember Mann requests committee appointment change from Equity committee to Law and Public Safety committee.,elections and governance,,"Motion, submitted by Councilmember Mann, Pursuant to the Rules of Council I request appointment as a member of the Law and Public Safety Committee and hereby resign as a member of the Equity, Inclusion, Youth and Arts Committee.",,success
2105,202000941,2020-07-29,2020-10-01,,City Manager,Motion,Hold,,,motion,Review unlawful fireworks use during July 4th and recommend reduction steps,Requests city review of illegal fireworks during July 4th and recommendations for reducing future violations.,public safety,citywide,"MOTION submitted by Councilmember Mann, WE MOVE that the City review recent unlawful use of fireworks during the July 4th holiday period and recommend steps to reduce such activity in the future. Recommendations might include improved local and/or state legislation and a better and more coordinated educational and enforcement effort. (STATEMENT ATTACHED)",,success
2106,202000942,2020-07-29,2020-09-01,2020-09-02,Cincinnati City Council,Motion,Adopted,Major Projects & Smart Government,,motion,City to encourage employees volunteering as poll workers for November election,City will identify ways to encourage and facilitate city employees volunteering as poll workers.,elections and governance|labor and workforce,citywide,"MOTION, submitted by Councilmember Mann, WE MOVE that the City identify ways to encourage and facilitate city employees to volunteer as poll workers for the November election. (STATEMENT ATTACHED)","per 2/3/21 e-mail from ACM Bigham, close out this report.",success
2107,202000943,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0255-2020,emergency ordinance,Electric Vehicle Charging Station Grant Authorization,"Authorizes applying for $115,000 grant to install electric vehicle charging stations throughout the city.",environment and sustainability|transportation|infrastructure,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the establishment of capital improvement program project account number 980x104x211034, “Electric Vehicle Charging Station DMTF Grant”, for the purpose of providing resources for the installation of electric vehicle chargers; AUTHORIZING the City Manager to apply for, accept, and appropriate a grant in the amount of up to $115,000 from the Ohio Environmental Protection Agency’s Diesel Mitigation Trust Fund (DMTF) Level 2 Electric Vehicle Charging Station Grant program to the newly established capital improvement program project account number 980x104x211034, “Electric Vehicle Charging Station DMTF Grant” for the purpose of providing resources to install electric vehicle chargers.",,success
2108,202000944,2020-07-29,2020-09-02,2020-09-02,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0287-2020,emergency ordinance,Establishing Metropolitan Sewer District Retainage and Escrow Account Fund,Creates new fund to manage retainage payments for Metropolitan Sewer District capital improvement projects.,budget|utilities,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/5/2020, ESTABLISHING new Fund No. 717, “Metropolitan Sewer District Retainage and Escrow Account,” for the purpose of depositing and disbursing funds to vendors to cover retainage for capital improvement projects.",,success
2109,202000945,2020-07-29,2020-09-02,2020-09-02,Cincinnati City Council,Motion,Adopted,Economic Growth & Zoning Committee,,motion,Property Tax Working Group final report and recommendations,Property Tax Working Group submits final report on rising property taxes and displacement prevention strategies.,tax policy|housing|economic development,citywide,"MOTION,  dated 7/28/2020 submitted by Vice Mayor Smitherman and Councilmember Mann, The Property Tax Working Group (PTWG) was created by motion on September 5, 2018 to study trends related to property taxes. Especially important were, rising property taxes in areas experiencing significant levels of development, helping senior citizens remain in their homes and communities and reporting on best practices of other cities and states. (Please see attach motion and vote by Cincinnati City Council).
The Property Tax Working Group had its final meeting on Thursday, July 23, 2020. This group was Chaired by Carol Gibbs, President/CEO Mt. Auburn Community Development Corporation (MACDC) and Vice Mayor Christopher Smitherman. The idea for the PTWG was the brainchild of Mrs. Carol Gibbs.
(Balance of motion on file in the Clerk’s Office).",,success
